"filename", "language", "XML", "Log", "JSON", "HTML", "Ini", "C#", "comment", "blank", "total"
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.4Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.4Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.4Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.4Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.4Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.4Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.5Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.5Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.5Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.5Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.5Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.5Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.5Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.6Build .app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.6Build .app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.6Build .app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.6Build .app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.6Build .app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.6Build .app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.6Build .app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.7Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.7Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.7Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.7Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.7Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.7Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.7Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.8Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.8Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.8Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.8Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.8Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.8Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.8Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.9Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.9Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.9Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.9Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.9Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.9Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.9Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.0Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.0Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.0Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.0Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.0Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.0Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.0Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.1Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.1Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.1Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.1Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.1Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.1Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta2.1Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Logs/Packages-Update.log", "Log", 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Logs/shadercompiler-UnityShaderCompiler0.log", "Log", 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Packages/manifest.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 1, 50
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Packages/packages-lock.json", "JSON", 0, 0, 427, 0, 0, 0, 0, 1, 428
"Total", "-", 5522, 17, 494, 43038, 119295, 1767, 4161, 39779, 214073
